Event	ID	Name			Wwise Object Path	Notes
	104387825	Stop_GG_SD_Wind			\Default Work Unit\Mechanic\Stop_GG_SD_Wind	
	316087560	Play_GG_SD_Sink_1			\Default Work Unit\Mechanic\Play_GG_SD_Sink_1	
	452547817	Stop_All			\Default Work Unit\Stop_All	
	459538816	Play_GG_SD_ShamanTransformation			\Default Work Unit\Play_GG_SD_ShamanTransformation	
	513156325	Play_FallTree			\Default Work Unit\Play_FallTree	
	564891350	Play_GG_SD_Bonfire_1			\Default Work Unit\Play_GG_SD_Bonfire_1	
	675749344	Play_Deer_FS			\Default Work Unit\Play_Deer_FS	
	1419803467	Play_ImpactEarthRock			\Default Work Unit\Play_ImpactEarthRock	
	1492968614	Play_GG_Ambience_Open_1			\Default Work Unit\Play_GG_Ambience_Open_1	
	1832895494	Play_Bear_FS			\Default Work Unit\Play_Bear_FS	
	2127114922	Play_Overture			\Default Work Unit\Play_Overture	
	2246671041	Play_GG_SD_Shake_1			\Default Work Unit\Play_GG_SD_Shake_1	
	2262856515	Play_FS			\Default Work Unit\Play_FS	
	2308878679	MuteAll			\Default Work Unit\Volume\MuteAll	
	2613785285	Play_GG_SD_CR_Stinger_1			\Default Work Unit\Play_GG_SD_CR_Stinger_1	
	2735935537	Pause_Music			\Default Work Unit\Music\Pause_Music	
	2756361781	Play_GG_SD_FSD_Shaman			\Default Work Unit\Play_GG_SD_FSD_Shaman	
	2940177080	Resume_Music			\Default Work Unit\Music\Resume_Music	
	3148331554	Stop_GG_SD_Sink_1			\Default Work Unit\Mechanic\Stop_GG_SD_Sink_1	
	3340787584	UnmuteAll			\Default Work Unit\Volume\UnmuteAll	
	3603427629	Play_GG_SD_Swipe_1			\Default Work Unit\Mechanic\Play_GG_SD_Swipe_1	
	3709355747	Play_Music_01			\Default Work Unit\Music\Play_Music_01	
	3932030894	Play_GG_SD_Shaman_Drum_1			\Default Work Unit\Play_GG_SD_Shaman_Drum_1	
	4141043401	Play_GG_SD_FSD_Bear			\Default Work Unit\Play_GG_SD_FSD_Bear	

Switch Group	ID	Name			Wwise Object Path	Notes
	210744043	FS_Switch			\Default Work Unit\FS_Switch	

Switch	ID	Name	Switch Group			Notes
	193148416	FS_Ice	FS_Switch			
	1704637610	FS_Forrest	FS_Switch			
	2790481301	FS_Swamp	FS_Switch			

State Group	ID	Name			Wwise Object Path	Notes
	3991942870	Music			\Default Work Unit\Music	

State	ID	Name	State Group			Notes
	153136492	LiO1	Music			
	169914049	LiP1	Music			
	748895195	None	Music			
	1125500713	Intro	Music			
	1606235185	Crossroad	Music			
	3639549469	SC1A	Music			
	3639549470	SC1B	Music			
	3673104832	SC3B	Music			
	3673104835	SC3A	Music			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9325141	GG_Wind_1_4	Y:\Desktop\DADIU\GraduationGame\MarshFellows\GraduationGameWWise\GraduationGameWWise\.cache\Mac\SFX\GG_Wind_1_4_159D690D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mechanic\GG_SD_Wind\GG_Wind_1_4		8500
	21474006	GG_SD_Shake_1	Y:\Desktop\DADIU\GraduationGame\MarshFellows\GraduationGameWWise\GraduationGameWWise\.cache\Mac\SFX\GG_SD_Shake_1_AD29F36A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mechanic\GG_SD_Shake_1		31037
	66411283	GG_SD_CR_Stinger_1	Y:\Desktop\DADIU\GraduationGame\MarshFellows\GraduationGameWWise\GraduationGameWWise\.cache\Mac\SFX\GG_SD_CR_Stinger_1_AD29F36A.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Crossroad\GG_SD_CR_Stinger_1\GG_SD_CR_Stinger_1		158610
	94630852	SS_FS_JUNGLE13	Y:\Desktop\DADIU\GraduationGame\MarshFellows\GraduationGameWWise\GraduationGameWWise\.cache\Mac\SFX\SS_FS_JUNGLE13_F7D0E330.wem		\Actor-Mixer Hierarchy\Default Work Unit\O&P\FS\FS_Forrest\SS_FS_JUNGLE13		15606
	97217295	GG_Sinkmechanic_2_2	Y:\Desktop\DADIU\GraduationGame\MarshFellows\GraduationGameWWise\GraduationGameWWise\.cache\Mac\SFX\GG_Sinkmechanic_2_2_AACB11EC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mechanic\GG_SD_Sink\GG_Sinkmechanic_2_2		67510
	106070163	MonsterBearGroan_S08AN_216	Y:\Desktop\DADIU\GraduationGame\MarshFellows\GraduationGameWWise\GraduationGameWWise\.cache\Mac\SFX\MonsterBearGroan_S08AN.216_F7D0E330.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foreshadowing\MonsterBearGroan_S08AN_216		9001
	118311113	SS_FS_JUNGLE2	Y:\Desktop\DADIU\GraduationGame\MarshFellows\GraduationGameWWise\GraduationGameWWise\.cache\Mac\SFX\SS_FS_JUNGLE2_F7D0E330.wem		\Actor-Mixer Hierarchy\Default Work Unit\O&P\FS\FS_Forrest\SS_FS_JUNGLE2		15372
	166912983	SS_FS_JUNGLE10	Y:\Desktop\DADIU\GraduationGame\MarshFellows\GraduationGameWWise\GraduationGameWWise\.cache\Mac\SFX\SS_FS_JUNGLE10_F7D0E330.wem		\Actor-Mixer Hierarchy\Default Work Unit\O&P\FS\FS_Forrest\SS_FS_JUNGLE10		13327
	177053591	GG_Wind_1_3	Y:\Desktop\DADIU\GraduationGame\MarshFellows\GraduationGameWWise\GraduationGameWWise\.cache\Mac\SFX\GG_Wind_1_3_31717DDA.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mechanic\GG_SD_Wind\GG_Wind_1_3		8327
	268898548	SS_FS_JUNGLE11	Y:\Desktop\DADIU\GraduationGame\MarshFellows\GraduationGameWWise\GraduationGameWWise\.cache\Mac\SFX\SS_FS_JUNGLE11_F7D0E330.wem		\Actor-Mixer Hierarchy\Default Work Unit\O&P\FS\FS_Forrest\SS_FS_JUNGLE11		14289
